fecha,no_renovable%,renovable%,variacion_dolar,deuda_millones,anio,mes,pbi_variacion,pbi_valor_millones,ipc,ipca,co2_valor,t_maxima,t_minima,t_promedio,exportacion,importacion,saldo,mercado_diario,precio_total,demanda_mw,demanda_industrial_mw,season,bret_valor_usd,spread,partido_gobernante,guerra_proxima,sucesos_proximos
2016-01-01,248912.02,20074.33,1.0898,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,14.0,7.6,10.8,-426745.15,1335405.16,908660.0,38.5,47.42,549334.251,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-02,226601.77,23738.37,1.0898,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,10.9,3.5,7.2,-21648.48,42084.96,20436.48,38.5,47.42,614370.924,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-03,195991.43,15987.66,1.0898,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,11.6,4.0,7.8,-32703.58,11973.09,-20730.48,38.5,47.42,619728.026,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-04,228880.63,17070.02,1.0898,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,13.0,6.4,9.7,-31645.97,24941.8,-6704.169999999999,38.5,47.42,704966.605,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-05,180422.54,25455.89,1.0746,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,9.3,3.7,6.5,-56994.92,1194.11,-55800.8,38.5,47.42,701386.909,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-06,118504.84,22286.42,1.0742,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,8.0,0.5,4.25,-69054.05,0.0,-69054.05,38.5,47.42,619994.074,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-07,214216.94,19043.44,1.0868,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,14.2,8.0,11.1,-41766.34,8888.0,-32878.340000000004,38.5,47.42,749294.848,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-08,252971.41,21862.64,1.0861,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,12.5,8.5,10.5,-31203.98,26068.96,-5135.019999999999,38.5,47.42,750160.278,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-09,200318.98,24039.94,1.0861,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,11.0,7.5,9.25,-47756.990000000005,2466.34,-45290.65,38.5,47.42,685100.337,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-10,171706.32,18562.97,1.0861,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,11.5,8.5,10.0,-66258.5,0.01,-66258.48,38.5,47.42,648714.619,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-11,196071.17,20719.13,1.0888,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,11.4,4.5,7.95,-50905.56,6089.320000000001,-44816.24,38.5,47.42,761504.75,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-12,255392.65,29348.1,1.0836,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,10.0,1.0,5.5,-27832.77,33089.14,5256.360000000001,38.5,47.42,778891.307,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-13,295358.43,28142.43,1.0816,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,10.0,0.5,5.25,-18377.52,37079.65,18702.13,38.5,47.42,795087.713,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-14,272356.8,19417.81,1.0893,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,9.9,2.9,6.4,-35740.91,11328.12,-24412.79,38.5,47.42,802427.396,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-15,254239.72,25223.29,1.0914,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,9.8,1.9,5.85,-32716.61,7120.49,-25596.120000000003,38.5,47.42,796846.21,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-16,251968.28000000003,35717.270000000004,1.0914,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,9.0,-1.1,3.95,-33924.09,18515.15,-15408.94,38.5,47.42,726141.03,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-17,283541.85,28921.17,1.0914,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,7.2,-2.0,2.6,-18521.38,28349.58,9828.19,38.5,47.42,690103.083,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-18,220623.63,27977.67,1.0892,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,10.0,1.6,5.8,-63176.22,440.14,-62736.08,38.5,47.42,809652.278,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-19,311828.08,27151.46,1.0868,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,9.2,1.0,5.1,-37131.66,8636.96,-28494.69,38.5,47.42,817453.121,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-20,318590.5,26489.33,1.0907,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,9.0,1.0,5.0,-33239.93,14413.6,-18826.33,38.5,47.42,812592.743,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-21,269768.36,26721.78,1.0893,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,8.8,3.2,6.0,-53151.62,2180.0,-50971.62,38.5,47.42,810913.591,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-22,286598.22000000003,23174.33,1.0808,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,10.5,6.0,8.25,-20522.81,37894.14,17371.330000000005,38.5,47.42,797248.912,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
2016-01-23,296605.46,28237.41,1.0808,1115968.0,2016,1,0.7,275083,-1.9,-2.5,6.82,17.6,7.8,12.7,-14815.22,59829.83,45014.61,38.5,47.42,704774.445,98.09,Invierno,26.5,8.920000000000002,Partido Popular (PP),0,0
